ThemeID,Category,Theme,Difficulty,ShortDescription
1,Absolute beginner declarer play,Counting winners in notrump,Beginner,Count immediate sure tricks in notrump before choosing a plan
2,Absolute beginner declarer play,Counting losers in trump contracts,Beginner,Count likely losers in a suit contract and focus on loser reduction
3,Absolute beginner declarer play,Identifying the source of extra tricks,Beginner,Decide whether extra tricks come from length finesses ruffs or endplay
4,Absolute beginner declarer play,Cashing top winners first,Beginner,Take sure winners promptly when delaying may let defenders attack your position
5,Absolute beginner declarer play,Don't take finesses you don't need,Beginner,Avoid unnecessary risks when you already have enough tricks
6,Absolute beginner declarer play,Take your sure tricks before they disappear,Beginner,Cash vulnerable winners before opponents can knock out entries or ruff
7,Absolute beginner declarer play,Recognizing immediate danger from the defense,Beginner,Spot when defenders can cash a suit or attack communications immediately
8,Absolute beginner declarer play,Make a plan before playing from dummy,Beginner,Pause at trick one and choose a line before playing automatically
9,Absolute beginner declarer play,Choosing between multiple possible plans,Beginner,Compare alternative plans and select the one with best odds or safety
10,Absolute beginner declarer play,Playing for overtricks vs just making the contract,Beginner,Adjust line depending on whether safety or extra tricks matter more
11,Basic counting themes,Counting top tricks,Beginner,Add certain winners before starting development
12,Basic counting themes,Counting missing tricks,Beginner,Estimate how many tricks still need to be developed
13,Basic counting themes,Counting the opponents' likely winners,Beginner,Estimate defenders natural tricks and urgency of your plan
14,Basic counting themes,Counting entries,Beginner,Track how many times each hand can be reached
15,Basic counting themes,Counting the hand shape,Beginner,Infer distributions from bidding and play
16,Basic counting themes,Counting missing high cards,Beginner,Track unseen honors and likely locations
17,Basic counting themes,Using the auction to place missing honors,Intermediate,Use bidding inferences to locate key cards
18,Basic counting themes,Using defender signals or play to infer distribution,Intermediate,Update shape assumptions from defensive cards
19,Basic counting themes,Counting outstanding trumps,Beginner,Track remaining enemy trumps before ruffing or drawing
20,Basic counting themes,Counting side-suit losers,Beginner,Identify side-suit danger in suit contracts
21,Entries and communications,Preserving entries to dummy,Beginner,Avoid wasting access cards needed later
22,Entries and communications,Preserving entries to hand,Beginner,Maintain access to declarer hand for later cashing or finesses
23,Entries and communications,Using an entry before it disappears,Beginner,Take needed entry while it still exists
24,Entries and communications,Creating an extra entry,Intermediate,Manufacture transportation through unblock or timing
25,Entries and communications,Avoiding blocking your own suit,Beginner,Play honors in proper order so winners can be cashed later
26,Entries and communications,Unblocking honors,Beginner,Release a high card to keep a suit running
27,Entries and communications,Transportation between hands,Beginner,Manage movement between declarer and dummy efficiently
28,Entries and communications,Rectifying communications before attacking a suit,Intermediate,Solve entry problems before establishing a long suit
29,Entries and communications,Entry shortage in notrump,Intermediate,Develop tricks while preserving scarce entries
30,Entries and communications,Entry shortage in suit contracts,Intermediate,Plan ruffs and side-suit development with limited access
31,Entries and communications,Choosing which entry to preserve,Intermediate,Decide which side entry is more valuable later
32,Entries and communications,Timing the use of entries,Intermediate,Use entries in the right sequence
33,Entries and communications,Crossing to dummy efficiently,Beginner,Reach dummy without wasting valuable cards
34,Entries and communications,Avoiding wasted entries,Beginner,Do not spend access cards on unnecessary early actions
35,Entries and communications,Managing one-entry hands,Intermediate,Handle positions where one side has only one access card
36,Finesse themes,Simple finesse,Beginner,Lead toward an honor hoping the missing higher honor is onside
37,Finesse themes,Taking a finesse toward an honor,Beginner,Execute a standard finesse from the correct side
38,Finesse themes,Repeated finesse,Intermediate,Take a finesse more than once when suit layout allows
39,Finesse themes,Two-way finesse,Intermediate,Choose which defender to finesse against
40,Finesse themes,Marked finesse from the auction,Intermediate,Use bidding to decide if finesse direction is known
41,Finesse themes,Finesse through the dangerous opponent,Intermediate,Finesse into the safe side and avoid the dangerous hand
42,Finesse themes,Avoiding a finesse because odds favor another line,Intermediate,Choose percentage or safety over a flashy finesse
43,Finesse themes,Ruffing finesse,Advanced,Use a high card threat opposite trumps to gain a trick
44,Finesse themes,Backwards finesse,Advanced,Take an unusual finesse direction based on spots and inferences
45,Finesse themes,Deep finesse,Advanced,Finesse against a lower missing honor in a complex suit
46,Finesse themes,First-round finesse,Intermediate,Take finesse immediately before revealing information or losing entry
47,Finesse themes,Second-round finesse,Intermediate,Delay finesse until after one round is played
48,Finesse themes,Delayed finesse,Intermediate,Postpone finesse until more information is available
49,Finesse themes,When not to finesse,Beginner,Reject finesse when contract is safer another way
50,Finesse themes,Finesse for the queen,Intermediate,Play a suit specifically for a missing queen
51,Finesse themes,Finesse for the jack,Intermediate,Use spot-card technique to locate or finesse a jack
52,Finesse themes,Double finesse,Advanced,Take two finesses in one suit or position
53,Finesse themes,Multiple finesse decisions in one hand,Advanced,Compare and sequence more than one finesse opportunity
54,Finesse themes,Combining a finesse with another chance,Intermediate,Use finesse as one branch of a combined line
55,Finesse themes,Finesse as safety play,Advanced,Take or avoid finesse to guard against bad breaks
56,Finesse themes,Restricted choice and the finesse decision,Advanced,Apply restricted choice to finesse or drop decisions
57,Finesse themes,Finesse after discovering defender length,Intermediate,Revise finesse direction after shape becomes known
58,Finesse themes,Finesse in trumps,Intermediate,Decide whether to finesse in the trump suit
59,Finesse themes,Avoiding unnecessary trump finesse,Intermediate,Do not risk contract on unneeded trump guess
60,Finesse themes,Losing finesse vs percentage play,Intermediate,Prefer better overall odds to a glamorous finesse
61,Suit establishment and development,Establishing a long suit in notrump,Beginner,Drive out stoppers to make length winners
62,Suit establishment and development,Giving up a trick to gain several tricks,Beginner,Lose a trick intentionally to build multiple winners
63,Suit establishment and development,Drive out an honor to set up a suit,Beginner,Knock out stopper or high card to run suit later
64,Suit establishment and development,Choosing which suit to establish,Intermediate,Select best development suit based on entries and blockers
65,Suit establishment and development,Establishing the longest suit,Beginner,Turn length into winners by force
66,Suit establishment and development,Establishing a side suit in a trump contract,Intermediate,Set up side-suit winners while managing trumps
67,Suit establishment and development,Knocking out the stopper,Beginner,Attack the suit that requires removal of one key honor
68,Suit establishment and development,Timing suit establishment before defenders cash winners,Intermediate,Develop suit before defense can run theirs
69,Suit establishment and development,Establishing a suit with limited entries,Intermediate,Plan unblock and transportation before forcing out honors
70,Suit establishment and development,Developing tricks in the short hand,Intermediate,Set up winners from the hand with fewer cards in suit
71,Suit establishment and development,Developing tricks in the long hand,Beginner,Use long side to create length tricks
72,Suit establishment and development,Suit establishment with unblock required,Intermediate,Release honors correctly to enjoy established cards
73,Suit establishment and development,Setting up a suit by force,Intermediate,Force defenders to give you length winners
74,Suit establishment and development,Choosing between finesse and establishment,Intermediate,Compare immediate finesse with longer development line
75,Suit establishment and development,Establishing a suit while maintaining communication,Intermediate,Keep entries while driving out stoppers
76,Suit establishment and development,When the defense can attack your entry suit,Intermediate,Anticipate and protect against entry destruction
77,Suit establishment and development,Establishing a suit before losing control,Intermediate,Develop tricks before defenders can run their suit
78,Suit establishment and development,Building a side suit through ruffing,Intermediate,Use ruffs to create winners in a side suit
79,Suit establishment and development,Length winners in notrump,Beginner,Promote extra tricks by exhausting defenders cards in a suit
80,Suit establishment and development,Length winners in suit contracts,Intermediate,Use a long side suit as discard source in a trump hand
81,Hold-up play and ducking,Hold up once in notrump,Beginner,Duck first round to cut communications or preserve stopper timing
82,Hold-up play and ducking,Hold up twice in notrump,Intermediate,Duck twice to isolate one defender or cut links
83,Hold-up play and ducking,Ducking to cut communications,Intermediate,Give up a trick now to stop defenders later
84,Hold-up play and ducking,Ducking to isolate one defender,Intermediate,Prevent dangerous hand from reentry to partner
85,Hold-up play and ducking,Ducking the first round of a suit,Beginner,Temporarily lose control to preserve eventual stopper position
86,Hold-up play and ducking,Recognizing when not to hold up,Intermediate,Win immediately when ducking costs too much tempo
87,Hold-up play and ducking,Hold-up play to sever defenders communication,Intermediate,Duck precisely enough to break defenders link
88,Hold-up play and ducking,Ducking in a suit contract,Intermediate,Give up trick while preserving trump control or timing
89,Hold-up play and ducking,Ducking to preserve control,Intermediate,Delay winning to avoid losing grip on hand
90,Hold-up play and ducking,Danger hand recognition,Intermediate,Identify which defender must not gain the lead
91,Hold-up play and ducking,Keeping the dangerous opponent off lead,Intermediate,Choose line that avoids losing to wrong defender
92,Hold-up play and ducking,Forcing the safe hand to win,Intermediate,Lose trick on purpose to safer defender
93,Hold-up play and ducking,Avoidance play,Intermediate,Shape play around keeping one opponent off lead
94,Hold-up play and ducking,Lead toward strength away from danger hand,Intermediate,Take finesse or line from safe side
95,Hold-up play and ducking,Play for the drop vs avoidance finesse,Advanced,Choose inferior raw odds to avoid dangerous defender
96,Trump basics,Drawing trumps immediately,Beginner,Pull enemy trumps before they can ruff your winners
97,Trump basics,Not drawing trumps too early,Beginner,Delay trump extraction when ruffs or side-suit setup come first
98,Trump basics,When to delay drawing trumps,Intermediate,Recognize positions where side-suit action precedes trump pull
99,Trump basics,Counting trumps,Beginner,Track enemy trump length throughout the play
100,Trump basics,Pulling the last trump,Beginner,Decide whether removing final trump is necessary
101,Trump basics,Leaving one trump outstanding intentionally,Intermediate,Keep one enemy trump out when timing favors other actions
102,Trump basics,Using trumps for control,Intermediate,Spend trumps to manage losing suits and retain command
103,Trump basics,Using trumps to prevent ruffs,Beginner,Draw trumps to kill defenders ruffing potential
104,Trump basics,Using trumps as entries,Intermediate,Preserve trump cards as transportation
105,Trump basics,Managing trump length between declarer and dummy,Intermediate,Choose correct hand for eventual control
106,Trump basics,Trumping losers in the short hand,Beginner,Ruff from the hand with fewer trumps for gain
107,Trump basics,Avoiding ruffing losers in the long hand,Beginner,Do not waste natural trump length on small ruffs
108,Trump basics,The long trump hand principle,Intermediate,Usually draw trumps and ruff losers in short hand
109,Trump basics,The short trump hand principle,Intermediate,Use shorter trump side for gainful ruffs
110,Trump basics,Crossruff basics,Intermediate,Take alternating ruffs instead of drawing trumps
111,Trump basics,When crossruffing beats drawing trumps,Intermediate,Choose ruffing plan when side winners are limited
112,Trump basics,When crossruffing is dangerous,Intermediate,Avoid crossruff when defenders can overruff or cash control
113,Trump basics,Trump promotion basics,Advanced,Create extra trump trick by forcing defender to ruff high
114,Trump basics,Forcing defense to ruff high,Advanced,Shorten defenders trumps or promote your own by force
115,Trump basics,Establishing trump control,Intermediate,Keep enough trumps to stop defenders from taking over
116,Trump basics,Trump extraction vs side-suit setup,Intermediate,Choose whether to draw trumps or work on side suit first
117,Trump basics,Using a trump coup idea at a simple level,Advanced,Shorten trumps to create later coup possibility
118,Ruffing and side-suit management,Ruffing losers in dummy,Beginner,Use dummy shortness to eliminate losers
119,Ruffing and side-suit management,Ruffing losers in hand,Intermediate,Ruff in declarer hand only when part of special plan
120,Ruffing and side-suit management,Setting up a ruff,Intermediate,Create position where loser can be ruffed later
121,Ruffing and side-suit management,Giving yourself a ruffing entry,Intermediate,Preserve or create access to take planned ruff
122,Ruffing and side-suit management,Ruffing before drawing trumps,Beginner,Take gainful ruff before enemy trumps are removed
123,Ruffing and side-suit management,High ruff vs low ruff,Intermediate,Choose cheapest safe trump for the ruff
124,Ruffing and side-suit management,Overruffing,Beginner,Ruff higher when opponent has already ruffed
125,Ruffing and side-suit management,Avoiding being overruffed,Intermediate,Manage trump length and timing to prevent losses
126,Ruffing and side-suit management,Ruff-sluff basics,Intermediate,Use defensive discard and ruff concession to lose one loser only
127,Ruffing and side-suit management,Ruffing to establish a suit,Intermediate,Ruff a suit to shorten defenders and create future winner
128,Ruffing and side-suit management,Ruffing the third round of a suit,Beginner,Use third round ruff after two natural plays
129,Ruffing and side-suit management,Dummy reversal basics,Advanced,Ruff in declarer hand while using dummy trumps for control
130,Ruffing and side-suit management,Ruffing to shorten trumps intentionally,Advanced,Reduce trump length to create end position or coup
131,Ruffing and side-suit management,Avoiding premature ruffs,Intermediate,Do not ruff before you know it gains
132,Ruffing and side-suit management,Using a side suit as a source of discards,Intermediate,Set up winners to pitch losers instead of ruffing them
133,Ruffing and side-suit management,Throwing losers on winners,Beginner,Discard loser on established side-suit winner
134,Ruffing and side-suit management,Loser-on-loser play,Intermediate,Dispose of one loser on another losing trick
135,Ruffing and side-suit management,Discarding from the right hand,Intermediate,Choose correct hand from which to pitch loser
136,Ruffing and side-suit management,Discard timing,Intermediate,Discard losers before entries or stoppers vanish
137,Loser handling in suit contracts,Count losers in a trump contract,Beginner,Identify total likely losers from top tricks and suit structure
138,Loser handling in suit contracts,Reduce losers by ruffing,Beginner,Plan gainful ruffs to eliminate losers
139,Loser handling in suit contracts,Reduce losers by discarding,Beginner,Use side winners to throw losers away
140,Loser handling in suit contracts,Reduce losers by establishing a side suit,Intermediate,Develop side suit for later loser disposal
141,Loser handling in suit contracts,Reduce losers by finesse,Intermediate,Use honor-position play to avoid one loser
